hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,0,51,2015,July,27,3,0,2,Online TA,POL,97.0,Michael.W@mail.com
Resort Hotel,0,24,2015,July,29,17,2,3,Direct,PRT,195.0,Evans_Dakota@verizon.com
Resort Hotel,0,34,2015,July,30,19,2,5,Offline TA/TO,IRL,116.85,GMorgan48@mail.com
Resort Hotel,0,96,2015,July,31,27,1,2,Online TA,PRT,166.0,Jennifer_S@gmail.com
Resort Hotel,1,110,2015,August,34,17,2,5,Online TA,PRT,134.0,KennethCunningham@protonmail.com
Resort Hotel,1,4,2015,October,41,7,0,1,Online TA,PRT,58.0,PKelley@protonmail.com
Resort Hotel,0,25,2015,October,42,16,2,5,Offline TA/TO,GBR,68.57,Robert_V@comcast.net
Resort Hotel,0,86,2015,October,43,18,2,5,Offline TA/TO,GBR,38.25,Erin_Villa@protonmail.com
Resort Hotel,0,24,2015,October,43,22,1,3,Online TA,GBR,61.6,Brandon.S@att.com
Resort Hotel,0,0,2015,October,43,23,0,2,Direct,PRT,64.0,Mccann.Jennifer26@att.com
Resort Hotel,0,1,2015,October,44,30,0,1,Direct,PRT,76.0,Frank_Guzman@comcast.net
Resort Hotel,0,57,2015,November,48,26,0,3,Online TA,NLD,36.0,MPhillips@aol.com
Resort Hotel,0,66,2015,December,49,5,1,1,Groups,ESP,64.0,Lindsey_W85@gmail.com
Resort Hotel,0,59,2015,December,49,5,2,1,Online TA,ESP,68.45,Rodriguez.Kyle@aol.com
Resort Hotel,1,57,2015,December,52,22,0,5,Offline TA/TO,PRT,54.68,Cordova_Vincent@att.com
Resort Hotel,0,133,2016,February,8,15,1,1,Offline TA/TO,POL,26.1,JasonMosley70@hotmail.com
Resort Hotel,1,219,2016,March,10,2,2,5,Offline TA/TO,PRT,52.0,FMoore@protonmail.com
Resort Hotel,0,169,2016,March,14,31,0,3,Groups,BEL,66.0,Warner_Emily@mail.com
Resort Hotel,0,169,2016,March,14,31,1,3,Groups,NLD,60.0,Arthur.Wood@outlook.com
Resort Hotel,0,191,2016,April,17,22,1,2,Offline TA/TO,PRT,85.33,AKing@gmail.com
Resort Hotel,1,95,2016,April,17,23,4,10,Groups,PRT,47.0,Tyrone.Bryant89@yahoo.com
Resort Hotel,1,59,2016,May,20,8,2,0,Offline TA/TO,PRT,55.89,Martinez.Robert@aol.com
Resort Hotel,1,203,2016,May,20,10,0,2,Groups,PRT,46.0,AAustin38@xfinity.com
Resort Hotel,1,151,2016,May,21,17,0,4,Groups,PRT,46.0,BBurnett@comcast.net
Resort Hotel,1,73,2016,May,22,23,1,2,Online TA,FRA,80.0,James_S@gmail.com
Resort Hotel,1,225,2016,May,22,28,1,1,Groups,PRT,85.0,KMoreno@outlook.com
Resort Hotel,1,277,2016,June,25,12,2,2,Groups,PRT,110.0,Stevenson.Alice@comcast.net
Resort Hotel,0,253,2016,June,26,22,0,3,Groups,POL,92.0,Megan_Dunn@zoho.com
Resort Hotel,1,0,2016,June,26,25,0,1,Online TA,GBR,179.0,May.Suzanne@yahoo.com
Resort Hotel,0,272,2016,July,28,8,2,5,Online TA,PRT,142.5,Alyssa.K64@mail.com
Resort Hotel,1,59,2016,July,31,29,2,3,Online TA,PRT,200.0,JillKnapp79@att.com
Resort Hotel,1,148,2016,August,32,1,1,2,Online TA,ESP,160.0,Sherman.Maureen@zoho.com
Resort Hotel,1,60,2016,August,33,8,1,3,Online TA,PRT,202.28,Jeremy_D88@att.com
Resort Hotel,1,86,2016,August,34,20,2,2,Online TA,GBR,231.0,SKing@gmail.com
Resort Hotel,1,1,2016,August,36,31,0,1,Online TA,PRT,125.0,Richard_M@comcast.net
Resort Hotel,0,265,2016,September,36,2,2,5,Offline TA/TO,LTU,100.0,Jeffrey_T@aol.com
Resort Hotel,1,385,2016,September,39,21,0,4,Groups,PRT,66.0,BradleyFoster@mail.com
Resort Hotel,1,339,2016,September,40,26,3,6,Groups,PRT,80.0,Chelsea_Newton@zoho.com
Resort Hotel,1,393,2016,October,41,8,2,2,Groups,PRT,72.0,MadelineMercer42@aol.com
Resort Hotel,1,151,2016,October,41,8,1,1,Online TA,BRA,54.5,Michael_Austin56@mail.com
Resort Hotel,1,315,2016,October,41,8,3,6,Groups,PRT,64.8,Michelle_Klein23@yandex.com
Resort Hotel,1,18,2016,October,42,15,1,1,Online TA,ESP,178.0,Joseph.S@gmail.com
Resort Hotel,1,178,2016,October,43,22,2,2,Online TA,SWE,110.75,Megan_Williams@yahoo.com
Resort Hotel,1,0,2016,October,44,27,0,1,Online TA,BEL,52.8,DReeves@verizon.com
Resort Hotel,1,117,2016,October,44,27,2,5,Online TA,IRL,66.02,Katherine_Rodriguez@yahoo.com
Resort Hotel,1,66,2016,October,44,27,2,5,Online TA,RUS,68.49,Craig_Anne@protonmail.com
Resort Hotel,1,30,2016,November,46,12,2,2,Online TA,PRT,36.84,Jimmy_G95@outlook.com
Resort Hotel,1,16,2016,November,48,25,0,1,Online TA,GBR,56.0,Juan.Sharp95@zoho.com
Resort Hotel,1,91,2016,December,52,23,2,4,Online TA,ESP,75.6,Grace_L@xfinity.com
Resort Hotel,0,0,2015,July,31,29,0,1,Corporate,Unknown,114.0,SSandoval@yahoo.com
Resort Hotel,0,0,2016,February,6,3,0,1,Direct,Unknown,39.0,Renee_Suarez@yandex.com
Resort Hotel,1,210,2015,August,35,25,0,5,Online TA,PRT,134.0,Jacob_Thompson@xfinity.com
Resort Hotel,0,15,2016,February,9,26,0,1,Corporate,PRT,45.0,Williams.Brian@yahoo.com
Resort Hotel,1,167,2015,July,28,7,0,2,Online TA,PRT,110.7,SCannon65@protonmail.com
Resort Hotel,1,279,2015,October,41,8,2,5,Groups,IRL,63.4,JMeyer@comcast.net
Resort Hotel,1,279,2015,October,41,8,2,5,Groups,IRL,63.4,EmilyMoore@zoho.com
Resort Hotel,0,42,2015,July,30,20,2,5,Offline TA/TO,PRT,122.34,Sharon.N@yahoo.com
Resort Hotel,1,468,2016,May,20,12,0,2,Groups,PRT,67.0,Pamela.Huff@yahoo.com
Resort Hotel,0,113,2015,August,33,15,2,5,Direct,PRT,136.0,SWarren94@yandex.com
Resort Hotel,0,169,2015,September,36,3,4,10,Offline TA/TO,GBR,66.16,Walker_Eric@xfinity.com
Resort Hotel,0,33,2015,September,39,21,1,1,Groups,FRA,90.0,AHogan35@xfinity.com
Resort Hotel,0,32,2015,September,39,20,3,5,Online TA,DEU,165.0,Brian.F@protonmail.com
Resort Hotel,0,69,2015,October,40,1,2,5,Offline TA/TO,GBR,73.43,Mark.B@yahoo.com
Resort Hotel,0,24,2015,October,41,10,0,1,Online TA,ESP,73.0,Stephenson_Heather@verizon.com
Resort Hotel,0,8,2015,October,41,7,1,4,Corporate,PRT,72.0,LAlvarado@protonmail.com
Resort Hotel,1,283,2015,October,42,12,2,5,Groups,GBR,75.86,Marshall.Ashley@hotmail.com
Resort Hotel,0,73,2015,October,42,17,1,1,Online TA,PRT,70.5,Smith.Diane@zoho.com
Resort Hotel,0,105,2015,October,43,19,2,5,Online TA,GBR,63.14,Kenneth.K69@yandex.com
Resort Hotel,0,21,2015,October,43,22,2,5,Offline TA/TO,GBR,54.0,Ashley_Alvarado@yahoo.com
Resort Hotel,1,8,2015,December,49,3,0,1,Direct,PRT,58.0,Erica_J@yandex.com
Resort Hotel,0,11,2015,December,49,5,2,1,Groups,ESP,68.0,Jacob_Lee16@gmail.com
Resort Hotel,0,14,2015,December,50,11,1,2,Offline TA/TO,ESP,55.4,NHill@outlook.com
Resort Hotel,0,0,2015,December,51,16,0,1,Online TA,PRT,40.0,NicoleSmith@gmail.com
Resort Hotel,0,0,2016,January,2,6,0,4,Online TA,ITA,44.8,Monica_G@comcast.net
Resort Hotel,0,5,2016,January,4,20,0,1,Offline TA/TO,PRT,26.0,Christopher.Ferrell@gmail.com
Resort Hotel,0,15,2016,January,5,28,0,1,Direct,IRL,43.0,Trevor_Smith@zoho.com
Resort Hotel,0,10,2016,February,9,25,1,3,Online TA,GBR,58.0,DGarcia@yandex.com
Resort Hotel,0,19,2016,January,5,30,4,10,Online TA,FRA,41.04,Colin_J@mail.com
Resort Hotel,0,0,2016,February,7,13,2,2,Direct,CHN,88.5,Matthew_Fernandez18@mail.com
Resort Hotel,0,0,2016,March,11,11,0,1,Direct,PRT,50.0,CPhillips@aol.com
Resort Hotel,0,0,2016,March,10,2,0,2,Direct,ITA,65.0,Christian.Carey@yahoo.com
Resort Hotel,0,36,2016,March,10,4,2,5,Offline TA/TO,GBR,34.73,JasonRobinson@outlook.com
Resort Hotel,0,109,2016,March,11,7,1,3,Offline TA/TO,GBR,27.5,Grace_Medina@hotmail.com
Resort Hotel,0,81,2016,March,11,9,0,3,Groups,GBR,86.55,Richard.Schmidt@aol.com
Resort Hotel,0,81,2016,March,11,9,0,3,Groups,IRL,49.0,Robert.Taylor59@yahoo.com
Resort Hotel,0,44,2016,March,11,12,0,1,Online TA,ESP,48.0,ElizabethFerguson@xfinity.com
Resort Hotel,0,18,2016,March,11,12,2,3,Online TA,ESP,90.0,GabrielWolfe@verizon.com
Resort Hotel,0,16,2016,March,12,18,0,2,Offline TA/TO,PRT,30.0,Campbell.Fred@outlook.com
Resort Hotel,0,42,2016,March,13,25,0,1,Online TA,PRT,57.75,Allison_R@aol.com
Resort Hotel,0,72,2016,March,13,25,1,2,Direct,PRT,126.0,Theresa.H@xfinity.com
Resort Hotel,0,59,2016,March,13,24,1,3,Direct,FRA,94.5,MirandaGreen@verizon.com
Resort Hotel,0,169,2016,March,14,31,0,3,Groups,IRL,60.0,Michael.R58@aol.com
Resort Hotel,0,0,2016,April,17,18,1,0,Online TA,PRT,52.0,Paige.R@gmail.com
Resort Hotel,0,0,2016,April,17,22,0,1,Online TA,GBR,80.0,LCompton32@zoho.com
Resort Hotel,0,38,2016,April,17,20,2,5,Online TA,FRA,83.0,Amber.Evans68@aol.com
Resort Hotel,0,5,2016,April,18,27,0,3,Direct,PRT,86.0,Lindsey_Felicia@gmail.com
Resort Hotel,0,44,2016,April,18,29,0,2,Online TA,PRT,82.5,Williams_Chad@zoho.com
Resort Hotel,0,8,2016,April,18,30,1,1,Direct,PRT,91.0,Daniel.Butler22@hotmail.com
Resort Hotel,0,18,2016,April,18,29,1,2,Online TA,ESP,80.0,ManuelGallagher43@yahoo.com
Resort Hotel,0,40,2016,April,18,30,2,5,Online TA,FRA,93.57,Andrea.W@comcast.net
Resort Hotel,0,12,2016,May,21,16,1,0,Online TA,PRT,70.0,Kaitlyn_W@gmail.com
Resort Hotel,0,29,2016,May,21,17,0,2,Offline TA/TO,PRT,94.5,AaronTorres42@xfinity.com
Resort Hotel,0,0,2016,May,23,30,1,0,Direct,PRT,60.0,Isaiah.Russell58@verizon.com
Resort Hotel,0,69,2016,June,25,15,1,4,Online TA,ESP,132.6,Oneill.Clayton@zoho.com
Resort Hotel,0,226,2016,July,27,2,2,5,Offline TA/TO,GBR,103.77,Edwards.Mark@mail.com
Resort Hotel,0,200,2016,July,29,16,2,5,Online TA,PRT,108.0,Lisa_C@aol.com
Resort Hotel,0,87,2016,July,30,19,1,5,Online TA,GBR,138.6,MBradley54@xfinity.com
Resort Hotel,0,0,2016,July,31,30,0,1,Direct,PRT,169.0,Henry.Torres@yahoo.com
Resort Hotel,0,191,2016,July,31,29,2,5,Offline TA/TO,PRT,191.55,Angela_Gomez@yahoo.com
Resort Hotel,0,90,2016,August,32,6,1,1,Online TA,ESP,191.0,Theresa_Larson51@att.com
Resort Hotel,0,145,2016,August,34,16,2,8,Offline TA/TO,PRT,124.2,Jennifer.W@yandex.com
Resort Hotel,0,39,2016,August,35,21,3,5,Online TA,IRL,270.38,Crawford.Kathryn@mail.com
Resort Hotel,0,54,2016,September,37,10,0,1,Offline TA/TO,USA,138.6,Sherri.Jones39@aol.com
Resort Hotel,0,7,2016,September,37,9,2,5,Offline TA/TO,EST,88.2,Pena.Lisa@gmail.com
Resort Hotel,0,55,2016,September,38,17,2,1,Direct,USA,205.67,Paula.D@comcast.net
Resort Hotel,0,214,2016,October,42,11,2,7,Groups,CHL,81.0,Natasha_Craig78@verizon.com
Resort Hotel,0,9,2016,October,43,21,0,2,Online TA,GBR,90.0,Hobbs_Katherine@outlook.com
Resort Hotel,0,117,2016,October,45,30,4,8,Online TA,NLD,44.15,George.Martinez@aol.com
Resort Hotel,0,24,2016,November,45,5,2,5,Direct,PRT,143.97,Edwin_Young@protonmail.com
Resort Hotel,0,63,2016,November,47,14,1,2,Offline TA/TO,GBR,77.18,Troy_Harrison71@hotmail.com
Resort Hotel,0,115,2016,November,47,17,1,3,Groups,IRL,34.0,Nicole.Aguilar95@yandex.com
Resort Hotel,0,76,2016,November,49,29,0,2,Corporate,SWE,50.0,Dunn.Matthew67@yandex.com
Resort Hotel,0,0,2016,December,50,8,0,0,Direct,PRT,0.0,Rhonda_H@xfinity.com
Resort Hotel,0,27,2016,December,49,1,2,5,Offline TA/TO,FRA,52.0,Erik_W@zoho.com
Resort Hotel,0,9,2016,December,51,14,0,2,Complementary,PRT,0.0,Farmer.Micheal@comcast.net
Resort Hotel,0,0,2016,December,51,16,0,2,Online TA,PRT,45.6,AnneScott47@outlook.com
Resort Hotel,0,68,2016,December,51,16,1,2,Online TA,GBR,62.0,Marilyn.Robertson@xfinity.com
Resort Hotel,0,170,2016,December,52,22,4,9,Online TA,FRA,51.69,Jennifer.Taylor@protonmail.com
Resort Hotel,0,101,2016,December,53,29,2,5,Online TA,GBR,141.57,Moore.Jason95@hotmail.com
City Hotel,0,4,2015,August,31,1,2,1,Offline TA/TO,ITA,36.25,Diane.C87@mail.com
City Hotel,1,34,2015,August,32,5,0,2,Groups,PRT,62.0,MatthewBauer@protonmail.com
City Hotel,0,2,2015,August,33,10,1,1,Online TA,PRT,89.0,JohnBailey@att.com
City Hotel,0,40,2015,August,33,15,2,2,Groups,ESP,62.0,James.C@mail.com
City Hotel,0,43,2015,August,34,21,2,2,Groups,ITA,80.25,KPatterson18@att.com
City Hotel,0,1,2015,August,35,29,2,1,Offline TA/TO,ITA,47.25,Michelle_James@hotmail.com
City Hotel,0,9,2015,August,36,31,1,4,Online TA,DEU,109.0,Jackson_Jesse@mail.com
City Hotel,0,9,2015,September,36,2,0,4,Online TA,DEU,103.05,JoseMorris@outlook.com
City Hotel,1,61,2015,September,36,5,2,2,Groups,PRT,62.0,Goodwin_Kenneth33@att.com
City Hotel,0,10,2015,September,37,7,1,4,Online TA,PRT,76.08,Olivia_B@verizon.com
City Hotel,0,72,2015,September,37,11,0,2,Groups,PRT,98.0,RyanAguirre@zoho.com
City Hotel,0,162,2015,September,38,17,0,3,Offline TA/TO,PRT,60.0,Jackson_Todd@xfinity.com
City Hotel,1,74,2015,September,38,18,0,2,Offline TA/TO,PRT,101.5,DMalone63@protonmail.com
City Hotel,0,60,2015,September,39,21,1,1,Offline TA/TO,PRT,49.5,JSchmidt@comcast.net
City Hotel,1,87,2015,September,39,25,2,3,Groups,PRT,170.0,DanielGibson@zoho.com
City Hotel,1,89,2015,September,40,27,1,0,Groups,PRT,170.0,Charles_Matthews@yandex.com
City Hotel,1,97,2015,October,41,5,1,3,Groups,PRT,140.0,Young.Michele@comcast.net
City Hotel,0,102,2015,October,42,16,0,2,Offline TA/TO,DEU,87.0,Andrea.Jordan29@zoho.com
City Hotel,1,45,2015,October,43,22,0,3,Online TA,PRT,94.5,Erika.DDS62@outlook.com
City Hotel,1,50,2015,October,43,24,1,1,Groups,PRT,75.0,MLee@mail.com
City Hotel,1,80,2015,November,45,2,1,1,Groups,PRT,111.0,Jessica.H@verizon.com
City Hotel,0,98,2015,November,48,23,1,2,Groups,ROU,70.0,Dawn.Burke@gmail.com
City Hotel,1,135,2015,December,49,5,1,1,Groups,PRT,51.4,HenryFernandez@outlook.com
City Hotel,1,198,2015,December,49,5,2,1,Groups,ESP,90.0,Cruz.Cody22@comcast.net
City Hotel,0,1,2015,December,51,19,0,1,Online TA,PRT,77.25,Lisa_W@att.com
City Hotel,0,5,2015,December,52,26,2,2,Online TA,FIN,63.0,KGray@yahoo.com
City Hotel,1,43,2016,January,3,14,0,3,Online TA,ESP,86.75,Humphrey.Ronnie@yahoo.com
City Hotel,1,18,2016,January,4,20,0,4,Online TA,FRA,87.0,Boyer_Aaron@mail.com
City Hotel,1,15,2016,February,7,12,0,2,Online TA,AUS,79.0,Jones_Dr.@mail.com
City Hotel,0,39,2016,February,7,13,1,1,Online TA,ITA,78.3,Lewis_Jennifer@xfinity.com
City Hotel,1,77,2016,February,9,24,0,2,Groups,PRT,64.0,Bridget.D@xfinity.com
City Hotel,1,116,2016,February,10,28,2,1,Offline TA/TO,PRT,61.0,Tamara.G@yahoo.com
City Hotel,1,8,2016,March,10,4,2,2,Online TA,CHN,85.96,KennethBell@aol.com
City Hotel,1,37,2016,March,11,11,2,2,Online TA,CHN,76.5,Julie.J44@yahoo.com
City Hotel,1,55,2016,March,12,16,1,4,Offline TA/TO,PRT,74.8,Annette.Cooley@aol.com
City Hotel,1,6,2016,March,14,27,2,3,Online TA,CHE,161.0,Christopher.Rowland@comcast.net
City Hotel,1,24,2016,March,14,29,0,3,Online TA,PRT,134.33,AmberReyes@yandex.com
City Hotel,1,68,2016,April,14,1,2,2,Online TA,FRA,116.45,BruceKing@comcast.net
City Hotel,1,105,2016,April,15,6,0,1,Offline TA/TO,PRT,75.0,MRandall16@hotmail.com
City Hotel,1,105,2016,April,15,6,0,1,Offline TA/TO,PRT,75.0,AprilBrown@xfinity.com
City Hotel,1,274,2016,April,15,7,0,2,Groups,PRT,62.0,Brian_W@comcast.net
City Hotel,1,16,2016,April,15,8,2,3,Online TA,CHE,131.2,Erin_E@zoho.com
City Hotel,1,110,2016,April,15,9,2,2,Online TA,PRT,76.5,Torres_Alexis11@att.com
City Hotel,0,111,2016,April,17,18,1,4,Online TA,PRT,76.97,Reyes_Michael@aol.com
City Hotel,1,142,2016,April,17,22,2,3,Groups,POL,103.0,Randall.P15@zoho.com
City Hotel,1,443,2016,April,18,29,0,1,Offline TA/TO,PRT,65.0,Blevins_Casey69@zoho.com
City Hotel,1,302,2016,May,19,5,0,2,Groups,PRT,62.0,Floyd_Lisa@xfinity.com
City Hotel,1,53,2016,May,19,6,0,2,Online TA,ESP,116.1,Jared_A35@zoho.com
City Hotel,0,131,2016,May,21,15,2,1,Direct,BEL,135.9,Dwayne_P35@gmail.com
City Hotel,1,1,2016,May,21,20,0,1,Direct,PRT,172.0,Christine_S44@comcast.net
City Hotel,0,316,2016,May,22,26,0,3,Groups,PRT,110.0,Joseph_M@aol.com
City Hotel,0,143,2016,May,23,29,2,3,Online TA,SWE,99.79,Lori_M@mail.com
City Hotel,1,56,2016,June,24,8,0,1,Offline TA/TO,PRT,120.0,Carpenter_Christopher@yandex.com
City Hotel,1,27,2016,June,24,9,0,1,Offline TA/TO,PRT,120.0,Mitchell_C73@mail.com
City Hotel,1,344,2016,June,25,16,0,2,Groups,PRT,62.0,Luis_Cooke@xfinity.com
City Hotel,1,193,2016,June,26,20,1,2,Offline TA/TO,PRT,120.0,FJoyce@comcast.net
City Hotel,1,24,2016,June,26,22,0,2,Online TA,KOR,157.0,LDowns@verizon.com
City Hotel,1,15,2016,June,26,23,0,1,Online TA,FRA,89.0,Welch_James94@outlook.com
City Hotel,1,351,2016,June,26,23,0,2,Groups,PRT,62.0,Marquez.Gabriella@yandex.com
City Hotel,1,157,2016,June,27,26,2,3,Online TA,DEU,90.95,Donald.L@zoho.com
City Hotel,1,179,2016,July,27,1,0,2,Groups,PRT,65.0,Penny_C@xfinity.com
City Hotel,0,209,2016,July,27,2,2,4,Online TA,AUT,66.53,Jordan.Kenneth@outlook.com
City Hotel,1,138,2016,July,28,3,2,2,Online TA,GBR,97.33,Shannon_Monroe62@att.com
City Hotel,1,149,2016,July,28,4,1,1,Online TA,CHE,114.3,KWu@outlook.com
City Hotel,1,94,2016,July,28,7,2,3,Online TA,ITA,146.7,BradleyMay@att.com
City Hotel,1,101,2016,July,29,13,0,3,Online TA,FRA,105.3,Sean.Taylor@verizon.com
City Hotel,1,372,2016,July,29,14,0,2,Groups,PRT,62.0,SandraTaylor16@mail.com
City Hotel,1,131,2016,August,32,2,0,4,Online TA,DEU,105.3,Robert.Green@outlook.com
City Hotel,1,7,2016,August,33,7,2,2,Online TA,ESP,151.0,Chang.Larry@zoho.com
