booking_id,hotel,arrival_year,arrival_month,arrival_day_of_month,stays_in_week_nights,stays_in_weekend_nights,avg_price_per_room,country,market_segment_type,booking_status,email,lead_time,arrival_date_week_number
INN00001,,2017,10,2,2,1,65.0,,offline,cancelled,,224,
INN00002,,2018,11,6,3,2,106.68,,online,cancelled,,5,
INN00003,,2018,2,28,1,2,60.0,,online,cancelled,,1,
INN00004,,2018,5,20,2,0,100.0,,online,cancelled,,211,
INN00005,,2018,4,11,1,1,94.5,,online,cancelled,,48,
INN00006,,2018,9,13,2,0,115.0,,online,cancelled,,346,
INN00007,,2017,10,15,3,1,107.55,,online,cancelled,,34,
INN00008,,2018,12,26,3,1,105.61,,online,cancelled,,83,
INN00009,,2018,7,6,4,0,96.9,,offline,cancelled,,121,
INN00010,,2018,10,18,5,0,133.44,,online,cancelled,,44,
INN00011,,2018,9,11,0,1,85.03,,online,cancelled,,0,
INN00012,,2018,4,30,1,2,140.4,,online,cancelled,,35,
INN00013,,2018,11,26,1,2,88.0,,online,cancelled,,30,
INN00014,,2018,11,20,0,2,90.0,,online,cancelled,,95,
INN00015,,2017,10,20,2,0,94.5,,online,cancelled,,47,
INN00016,,2018,6,15,2,0,115.0,,online,cancelled,,256,
INN00017,,2017,10,5,0,1,96.0,,offline,cancelled,,0,
INN00018,,2017,8,10,3,1,96.0,,online,cancelled,,1,
INN00019,,2017,10,30,2,2,65.0,,online,cancelled,,99,
INN00020,,2017,10,4,0,1,72.0,,offline,cancelled,,12,
INN00021,,2017,10,30,2,2,65.0,,online,cancelled,,99,
INN00022,,2018,11,25,1,0,67.0,,corporate,cancelled,,122,
INN00023,,2018,3,20,4,2,85.0,,offline,cancelled,,2,
INN00024,,2018,10,13,3,0,105.0,,offline,cancelled,,37,
INN00025,,2018,5,22,1,2,94.5,,online,cancelled,,130,
INN00026,,2018,4,28,2,0,114.3,,online,cancelled,,99,
INN00027,,2017,9,21,1,1,65.0,,offline,cancelled,,60,
INN00028,,2018,5,19,2,0,110.0,,aviation,cancelled,,2,
INN00029,,2017,11,6,2,1,37.33,,online,cancelled,,37,
INN00030,,2017,9,17,2,0,82.0,,offline,cancelled,,56,
INN00031,,2017,9,19,1,1,177.5,,online,cancelled,,3,
INN00032,,2018,11,13,2,2,87.5,,online,cancelled,,107,
INN00033,,2018,12,7,3,0,82.44,,online,cancelled,,56,
INN00034,,2018,1,9,1,0,69.5,,online,cancelled,,2,
INN00035,,2018,10,7,2,0,85.5,,offline,cancelled,,72,
INN00036,,2018,4,27,1,0,115.0,,online,cancelled,,23,
INN00037,,2018,6,19,1,2,81.0,,online,cancelled,,34,
INN00038,,2017,10,17,1,0,67.0,,offline,cancelled,,289,
INN00039,,2018,11,19,3,2,63.75,,online,cancelled,,247,
INN00040,,2018,7,30,1,2,121.8,,online,cancelled,,186,
INN00041,,2018,11,1,4,0,93.6,,online,cancelled,,64,
