arrival_date,arrival_date_day_of_month,arrival_date_week_number,arrival_month,arrival_year,avg_price_per_room,booking_id,booking_status,country,email,hotel,lead_time,market_segment_type,stays_in_week_nights,stays_in_weekend_nights
Unknown,3,27,,2015,97.0,Unknown,not cancelled,pol,michael.w@mail.com,resort hotel,51,online ta,2,0
Unknown,17,29,,2015,195.0,Unknown,not cancelled,prt,evans_dakota@verizon.com,resort hotel,24,direct,3,2
Unknown,19,30,,2015,116.85,Unknown,not cancelled,irl,gmorgan48@mail.com,resort hotel,34,offline ta/to,5,2
Unknown,27,31,,2015,166.0,Unknown,not cancelled,prt,jennifer_s@gmail.com,resort hotel,96,online ta,2,1
Unknown,17,34,,2015,134.0,Unknown,cancelled,prt,kennethcunningham@protonmail.com,resort hotel,110,online ta,5,2
Unknown,7,41,,2015,58.0,Unknown,cancelled,prt,pkelley@protonmail.com,resort hotel,4,online ta,1,0
Unknown,16,42,,2015,68.57,Unknown,not cancelled,gbr,robert_v@comcast.net,resort hotel,25,offline ta/to,5,2
Unknown,18,43,,2015,38.25,Unknown,not cancelled,gbr,erin_villa@protonmail.com,resort hotel,86,offline ta/to,5,2
Unknown,22,43,,2015,61.6,Unknown,not cancelled,gbr,brandon.s@att.com,resort hotel,24,online ta,3,1
Unknown,23,43,,2015,64.0,Unknown,not cancelled,prt,mccann.jennifer26@att.com,resort hotel,0,direct,2,0
Unknown,30,44,,2015,76.0,Unknown,not cancelled,prt,frank_guzman@comcast.net,resort hotel,1,direct,1,0
Unknown,26,48,,2015,36.0,Unknown,not cancelled,nld,mphillips@aol.com,resort hotel,57,online ta,3,0
Unknown,5,49,,2015,64.0,Unknown,not cancelled,esp,lindsey_w85@gmail.com,resort hotel,66,groups,1,1
Unknown,5,49,,2015,68.45,Unknown,not cancelled,esp,rodriguez.kyle@aol.com,resort hotel,59,online ta,1,2
Unknown,22,52,,2015,54.68,Unknown,cancelled,prt,cordova_vincent@att.com,resort hotel,57,offline ta/to,5,0
Unknown,15,8,,2016,26.1,Unknown,not cancelled,pol,jasonmosley70@hotmail.com,resort hotel,133,offline ta/to,1,1
Unknown,2,10,,2016,52.0,Unknown,cancelled,prt,fmoore@protonmail.com,resort hotel,219,offline ta/to,5,2
Unknown,31,14,,2016,66.0,Unknown,not cancelled,bel,warner_emily@mail.com,resort hotel,169,groups,3,0
Unknown,31,14,,2016,60.0,Unknown,not cancelled,nld,arthur.wood@outlook.com,resort hotel,169,groups,3,1
Unknown,22,17,,2016,85.33,Unknown,not cancelled,prt,aking@gmail.com,resort hotel,191,offline ta/to,2,1
Unknown,23,17,,2016,47.0,Unknown,cancelled,prt,tyrone.bryant89@yahoo.com,resort hotel,95,groups,10,4
Unknown,8,20,,2016,55.89,Unknown,cancelled,prt,martinez.robert@aol.com,resort hotel,59,offline ta/to,0,2
Unknown,10,20,,2016,46.0,Unknown,cancelled,prt,aaustin38@xfinity.com,resort hotel,203,groups,2,0
Unknown,17,21,,2016,46.0,Unknown,cancelled,prt,bburnett@comcast.net,resort hotel,151,groups,4,0
Unknown,23,22,,2016,80.0,Unknown,cancelled,fra,james_s@gmail.com,resort hotel,73,online ta,2,1
Unknown,28,22,,2016,85.0,Unknown,cancelled,prt,kmoreno@outlook.com,resort hotel,225,groups,1,1
Unknown,12,25,,2016,110.0,Unknown,cancelled,prt,stevenson.alice@comcast.net,resort hotel,277,groups,2,2
Unknown,22,26,,2016,92.0,Unknown,not cancelled,pol,megan_dunn@zoho.com,resort hotel,253,groups,3,0
Unknown,25,26,,2016,179.0,Unknown,cancelled,gbr,may.suzanne@yahoo.com,resort hotel,0,online ta,1,0
Unknown,8,28,,2016,142.5,Unknown,not cancelled,prt,alyssa.k64@mail.com,resort hotel,272,online ta,5,2
Unknown,29,31,,2016,200.0,Unknown,cancelled,prt,jillknapp79@att.com,resort hotel,59,online ta,3,2
Unknown,1,32,,2016,160.0,Unknown,cancelled,esp,sherman.maureen@zoho.com,resort hotel,148,online ta,2,1
Unknown,8,33,,2016,202.28,Unknown,cancelled,prt,jeremy_d88@att.com,resort hotel,60,online ta,3,1
Unknown,20,34,,2016,231.0,Unknown,cancelled,gbr,sking@gmail.com,resort hotel,86,online ta,2,2
Unknown,31,36,,2016,125.0,Unknown,cancelled,prt,richard_m@comcast.net,resort hotel,1,online ta,1,0
Unknown,2,36,,2016,100.0,Unknown,not cancelled,ltu,jeffrey_t@aol.com,resort hotel,265,offline ta/to,5,2
Unknown,21,39,,2016,66.0,Unknown,cancelled,prt,bradleyfoster@mail.com,resort hotel,385,groups,4,0
Unknown,26,40,,2016,80.0,Unknown,cancelled,prt,chelsea_newton@zoho.com,resort hotel,339,groups,6,3
Unknown,8,41,,2016,72.0,Unknown,cancelled,prt,madelinemercer42@aol.com,resort hotel,393,groups,2,2
Unknown,8,41,,2016,54.5,Unknown,cancelled,bra,michael_austin56@mail.com,resort hotel,151,online ta,1,1
Unknown,8,41,,2016,64.8,Unknown,cancelled,prt,michelle_klein23@yandex.com,resort hotel,315,groups,6,3
Unknown,15,42,,2016,178.0,Unknown,cancelled,esp,joseph.s@gmail.com,resort hotel,18,online ta,1,1
Unknown,22,43,,2016,110.75,Unknown,cancelled,swe,megan_williams@yahoo.com,resort hotel,178,online ta,2,2
Unknown,27,44,,2016,52.8,Unknown,cancelled,bel,dreeves@verizon.com,resort hotel,0,online ta,1,0
Unknown,27,44,,2016,66.02,Unknown,cancelled,irl,katherine_rodriguez@yahoo.com,resort hotel,117,online ta,5,2
Unknown,27,44,,2016,68.49,Unknown,cancelled,rus,craig_anne@protonmail.com,resort hotel,66,online ta,5,2
Unknown,12,46,,2016,36.84,Unknown,cancelled,prt,jimmy_g95@outlook.com,resort hotel,30,online ta,2,2
Unknown,25,48,,2016,56.0,Unknown,cancelled,gbr,juan.sharp95@zoho.com,resort hotel,16,online ta,1,0
Unknown,23,52,,2016,75.6,Unknown,cancelled,esp,grace_l@xfinity.com,resort hotel,91,online ta,4,2
Unknown,29,31,,2015,114.0,Unknown,not cancelled,unknown,ssandoval@yahoo.com,resort hotel,0,corporate,1,0
Unknown,3,6,,2016,39.0,Unknown,not cancelled,unknown,renee_suarez@yandex.com,resort hotel,0,direct,1,0
Unknown,25,35,,2015,134.0,Unknown,cancelled,prt,jacob_thompson@xfinity.com,resort hotel,210,online ta,5,0
Unknown,26,9,,2016,45.0,Unknown,not cancelled,prt,williams.brian@yahoo.com,resort hotel,15,corporate,1,0
Unknown,7,28,,2015,110.7,Unknown,cancelled,prt,scannon65@protonmail.com,resort hotel,167,online ta,2,0
Unknown,8,41,,2015,63.4,Unknown,cancelled,irl,jmeyer@comcast.net,resort hotel,279,groups,5,2
Unknown,8,41,,2015,63.4,Unknown,cancelled,irl,emilymoore@zoho.com,resort hotel,279,groups,5,2
Unknown,20,30,,2015,122.34,Unknown,not cancelled,prt,sharon.n@yahoo.com,resort hotel,42,offline ta/to,5,2
Unknown,12,20,,2016,67.0,Unknown,cancelled,prt,pamela.huff@yahoo.com,resort hotel,468,groups,2,0
Unknown,15,33,,2015,136.0,Unknown,not cancelled,prt,swarren94@yandex.com,resort hotel,113,direct,5,2
Unknown,3,36,,2015,66.16,Unknown,not cancelled,gbr,walker_eric@xfinity.com,resort hotel,169,offline ta/to,10,4
Unknown,21,39,,2015,90.0,Unknown,not cancelled,fra,ahogan35@xfinity.com,resort hotel,33,groups,1,1
Unknown,20,39,,2015,165.0,Unknown,not cancelled,deu,brian.f@protonmail.com,resort hotel,32,online ta,5,3
